"","model","wt","upp","low","week","alpha","step","rep"
"184","sir",0.17781019807,0.227119,0.133963325,24,50,1,1
"185","arima",0.688359276276672,0.975200475,0.05681628,25,1,1,1
"186","asg",0.0194677292279874,0.0727767275,0.000456057025,25,1,1,1
"187","naive",0.284308437530487,0.916191075,0.0058906385,25,1,1,1
"188","sir",0.00786455908671364,0.028939525,0.00020535395,25,1,1,1
"189","arima",0.29402216724,0.363136475,0.229054675,25,50,1,1
"190","asg",0.23945779574,0.300043075,0.182816825,25,50,1,1
"191","naive",0.2884947459,0.3562961,0.224409875,25,50,1,1
"192","sir",0.17802529259,0.2269593,0.1339538,25,50,1,1
"193","arima",0.704728396604147,0.975568475,0.0714014975,26,1,1,1
"194","asg",0.0197224321693969,0.0738596725,0.00053710645,26,1,1,1
"195","naive",0.267594525663538,0.900897625,0.0059331985,26,1,1,1
"196","sir",0.00795464454196096,0.02925214,0.000223358,26,1,1,1
"197","arima",0.29376416702,0.362760525,0.228469375,26,50,1,1
"198","asg",0.24004719102,0.301651,0.1837409,26,50,1,1
"199","naive",0.28762697246,0.355983075,0.22351095,26,50,1,1
"200","sir",0.178561667008,0.227335025,0.13481195,26,50,1,1
"201","arima",0.705584808523072,0.9761912,0.0650356075,27,1,1,1
"202","asg",0.0207423768259167,0.07702833,0.000515538275,27,1,1,1
"203","naive",0.265669726397965,0.905588325,0.00568461575,27,1,1,1
"204","sir",0.00800308830481601,0.0294989,0.00020300215,27,1,1,1
"205","arima",0.2932639744,0.361390225,0.228502675,27,50,1,1
"206","asg",0.24088608528,0.302908175,0.183993825,27,50,1,1
"207","naive",0.28693164918,0.35558605,0.22283195,27,50,1,1
"208","sir",0.178918292904,0.2276982,0.134591975,27,50,1,1
"209","arima",0.715203409116128,0.976563075,0.0789601775,28,1,1,1
"210","asg",0.0211000500778356,0.0794789150000001,0.00052998705,28,1,1,1
"211","naive",0.255582005267914,0.89090805,0.00529877325,28,1,1,1
"212","sir",0.00811453562308933,0.0300369325,0.0002162295,28,1,1,1
"213","arima",0.29265994814,0.360458025,0.228961475,28,50,1,1
"214","asg",0.24169401638,0.303543725,0.18490455,28,50,1,1
"215","naive",0.28625939978,0.354093025,0.222838925,28,50,1,1
"216","sir",0.179386639728,0.2285131,0.13495995,28,50,1,1
"217","arima",0.72368668542698,0.976140225,0.09071269,29,1,1,1
"218","asg",0.0215278229868459,0.0808924725,0.00053815385,29,1,1,1
"219","naive",0.246619173624572,0.8801567,0.005049284,29,1,1,1
"220","sir",0.00816631564686467,0.030324295,0.0002007178,29,1,1,1
"221","arima",0.29227206252,0.361341175,0.2272989,29,50,1,1
"222","asg",0.24234930956,0.303692025,0.185878875,29,50,1,1
"223","naive",0.28561688598,0.3540272,0.221886825,29,50,1,1
"224","sir",0.17976173694,0.2296702,0.1351797,29,50,1,1
"225","arima",0.73169437644584,0.9762151,0.095358985,30,1,1,1
"226","asg",0.0219993248970608,0.082093375,0.000523686975,30,1,1,1
"227","naive",0.238004254010431,0.87374395,0.00526729125,30,1,1,1
"228","sir",0.00830204576251284,0.0304603175,0.0002051122,30,1,1,1
"229","arima",0.2917671494,0.359252025,0.227795975,30,50,1,1
"230","asg",0.243185306,0.305051275,0.18645185,30,50,1,1
"231","naive",0.28505179774,0.352449075,0.221353925,30,50,1,1
"232","sir",0.179995747504,0.229107325,0.135929925,30,50,1,1
"233","arima",0.73316616801688,0.976053575,0.1063284,31,1,1,1
"234","asg",0.022788256248934,0.0857796375,0.00061596165,31,1,1,1
"235","naive",0.235750816605558,0.86403235,0.00501804675,31,1,1,1
"236","sir",0.00829476197162716,0.0304686675,0.00020772145,31,1,1,1
"237","arima",0.29134706498,0.3602211,0.22705555,31,50,1,1
"238","asg",0.24424184254,0.30665315,0.186849875,31,50,1,1
"239","naive",0.28422788586,0.352274525,0.220003675,31,50,1,1
"240","sir",0.180183204264,0.2297162,0.1357319,31,50,1,1
