"","rep","time","method","crps","logs","pit"
"3763",26,1,"SGP",7.22782923120892,3.90777989800709,0.8335
"3764",26,2,"SGP",4.32793062457902,3.56874185014332,0.746
"3765",26,3,"SGP",4.49602571026623,3.70267794792277,0.756
"3766",26,4,"SGP",7.24114195548562,3.93871413923107,0.8705
"3767",26,5,"SGP",5.04852449319659,3.57743821002604,0.779
"3768",26,6,"SGP",5.22841321483426,3.49224094758217,0.7325
"3769",26,7,"SGP",3.50198909265948,3.70595253498638,0.4035
"3770",26,8,"SGP",2.86731319739721,3.34686851351476,0.4075
"3771",26,9,"SGP",5.44663770197298,3.84116766849868,0.237
"3772",26,10,"SGP",7.99176566485407,4.12551727467378,0.15
"3773",26,11,"SGP",3.5633465552395,3.43020123156721,0.707
"3774",26,12,"SGP",2.8091946986887,3.41640594729664,0.6
"3775",26,13,"SGP",3.26543527724679,3.45639506028804,0.654
"3776",26,14,"SGP",2.87133948644269,3.4136082012955,0.558
"3777",26,15,"SGP",4.3022811136966,3.68129829940559,0.2795
"3778",26,16,"SGP",2.53406959138774,3.30723289364942,0.403
"3779",26,17,"SGP",3.05175654260114,3.3328249175851,0.695
"3780",26,18,"SGP",2.18253303739413,3.11151864670136,0.4505
"3781",26,19,"SGP",1.85954241415912,3.0179824389282,0.499
"3782",26,20,"SGP",1.8392850085884,2.98726768862104,0.4475
"3783",26,21,"SGP",2.05232707790575,2.97791762627546,0.6645
"3784",26,22,"SGP",1.68355386807328,2.8952340803826,0.537
"3785",26,23,"SGP",1.70510609058549,2.86493110890538,0.541
"3786",26,24,"SGP",2.4136194834189,3.02187696432893,0.682
"3787",26,25,"SGP",2.0017016351652,3.01236030197633,0.4485
"3788",26,26,"SGP",2.23612398854747,2.98056604249205,0.2985
"3789",26,27,"SGP",2.70961854369121,3.05278392857724,0.223
"3790",26,28,"SGP",1.95109939815968,3.09086648139172,0.399
"3791",26,29,"SGP",1.3507789606739,2.5994138531551,0.5335
"3792",26,30,"SGP",1.12869659929624,2.38704238328048,0.4145
"3793",26,31,"SGP",0.985124032575504,2.29435461298445,0.44
"3794",26,32,"SGP",1.48499056646555,2.43644071791063,0.258
"3795",26,33,"SGP",1.51851413198683,2.66198356144468,0.263
"3796",26,34,"SGP",0.948495795277782,2.37721970785593,0.3465
"3797",26,35,"SGP",0.65400084107303,1.91219162900965,0.514
"3798",26,36,"SGP",0.66421715550936,1.83285228675315,0.5165
"3799",26,37,"SGP",1.48579333827863,2.78100694924557,0.79
"3800",26,38,"SGP",1.32663207337964,2.8139130521339,0.7
"3801",27,1,"BMA",2.92732109510072,3.33056517568872,0.6325
"3802",27,2,"BMA",3.49855803391066,3.39674435952853,0.7305
"3803",27,3,"BMA",2.45194685567874,3.04505438959594,0.6825
"3804",27,4,"BMA",4.31850955215762,3.56640511289746,0.8925
"3805",27,5,"BMA",5.90090466372248,4.06790205062824,0.92
"3806",27,6,"BMA",2.08400093202122,2.87850241118733,0.635
"3807",27,7,"BMA",10.7724234600933,5.90374785046755,0.9875
"3808",27,8,"BMA",3.26277877562125,3.46826164527239,0.3665
"3809",27,9,"BMA",3.01503564186959,3.48737311372175,0.4755
"3810",27,10,"BMA",12.4520863130315,4.66389024220891,0.948
"3811",27,11,"BMA",4.24066990434581,3.55435175656686,0.6845
"3812",27,12,"BMA",2.96329499471157,3.42565146940214,0.5745
"3813",27,13,"BMA",10.6666023438489,4.33568616219783,0.8955
"3814",27,14,"BMA",12.3589379782126,4.28425123484235,0.921
"3815",27,15,"BMA",6.43020316566414,3.71128158122156,0.7175
"3816",27,16,"BMA",9.15319785968319,3.8047075882862,0.7225
"3817",27,17,"BMA",8.4933332624154,3.88295661295439,0.8525
"3818",27,18,"BMA",2.79809931275052,3.41877836857768,0.547
"3819",27,19,"BMA",6.8388866858084,3.90852154073266,0.1775
"3820",27,20,"BMA",9.32979725533026,4.19745668343708,0.119
"3821",27,21,"BMA",4.03133494361278,3.53955375749518,0.285
"3822",27,22,"BMA",6.8071003273995,3.73473544298921,0.8595
"3823",27,23,"BMA",10.9914792615017,4.48907649590239,0.947
"3824",27,24,"BMA",15.2068121693789,5.53791651403709,0.984
"3825",27,25,"BMA",3.37766434273334,3.37828089123195,0.682
"3826",27,26,"BMA",2.41621076686146,3.10013253825804,0.6425
"3827",27,27,"BMA",2.76024100271926,3.12230246346591,0.706
"3828",27,28,"BMA",2.29046998618453,2.97753310417388,0.6675
"3829",27,29,"BMA",1.51058282573988,2.85509902802491,0.4265
"3830",27,30,"BMA",3.64110180781984,3.2211028059941,0.8545
"3831",27,31,"BMA",1.33399458459633,2.66958367527036,0.5655
"3832",27,32,"BMA",1.88511850464688,2.82568562693227,0.7265
"3833",27,33,"BMA",1.70648792930009,2.73328346144477,0.6995
"3834",27,34,"BMA",2.06437356694892,2.77334992781001,0.194
"3835",27,35,"BMA",0.930255189839581,2.43515586120116,0.4675
"3836",27,36,"BMA",1.34285736385917,2.36696954708568,0.299
"3837",27,37,"BMA",0.885869543270696,2.25579079610973,0.462
"3838",27,38,"BMA",0.77288775767734,2.15770480215893,0.49
"3839",27,1,"AVS",2.92732109510072,3.37126322232584,0.647
"3840",27,2,"AVS",3.99723055104981,3.46340963025353,0.8055
